"GeneID","SRR1568262","SRR1568263","SRR1568264","SRR6311328","SRR6311361","SRR6311362","SRR6311363","SRR6311364","SRR6311365","SRR6311366","SRR6311393","SRR6311394","SRR6311395","SRR6311396"
"LOC5566845","112","115","156","70","17","70","85","155","71","66","793","884","513","801"
"LOC110679585","2","1","1","0","0","0","0","0","0","0","0","0","0","0"
"LOC5566890","0","1","1","0","11","1","16","0","0","19","16","10","0","6"
"LOC5566889","84","49","57","0","10","1","56","107","63","54","165","169","103","42"
"LOC5566844","39","54","58","140","27","75","159","164","96","164","541","515","151","309"
"LOC5566879","160","151","197","87","55","77","89","151","105","99","150","176","112","345"
"LOC110679882","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5566886","9","24","23","30","15","91","15","15","7","8","52","78","16","5"
"Trnas-gcu_5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trnas-gcu_6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trnas-gcu_7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5566884","0","0","0","45","15","0","0","0","0","0","14","1","4","2"
"LOC5566888","85","111","125","1","27","2","305","394","190","179","112","170","146","309"
"LOC5566843","1670","820","1824","1431","987","819","3485","4273","2456","3175","10076","8945","1949","2101"
"LOC5566878","119","272","105","374","100","54","30","19","5","16","10","10","39","91"
"LOC5567195","0","0","0","1","9","0","0","0","0","1","0","0","0","1"
"LOC5566891","0","0","0","0","5","12","0","0","0","0","0","0","0","16"
"LOC5566842","3","11","1","0","0","1","0","0","0","0","0","4","0","0"
"Trnas-aga_64","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5566885","38","52","31","61","44","13","20","50","26","44","115","76","101","34"
"LOC5568836","143","83","168","306","61","51","138","122","122","141","330","284","130","181"
"LOC110678498","84","61","112","279","133","125","590","1700","904","1164","258","255","14160","14589"
"LOC5573655","0","0","0","0","0","0","0","0","0","0","13","23","0","2"
"LOC5575304","234","237","332","98","42","97","172","118","42","184","199","383","72","64"
"LOC5575303","1","2","0","0","0","0","0","1","0","0","1","0","0","0"
"LOC110678938","9","6","6","0","0","0","0","0","1","1","0","0","0","0"
"LOC5575302","98","114","115","34","4","43","43","46","26","39","79","131","171","330"
"LOC5575301","29","37","32","379","200","318","380","337","181","235","598","521","252","355"
"LOC5572557","135","114","166","2","22","28","181","232","142","194","350","494","670","739"
"LOC110677705","0","1","0","0","0","0","0","0","0","0","1","10","0","2"
"LOC5572554","130","104","150","420","51","79","87","95","49","78","244","333","176","911"
"LOC23687878","13","20","16","7","4","0","57","111","41","28","206","106","45","83"
"LOC5572556","205","337","312","22","25","0","26","40","45","20","110","98","51","85"
"LOC5572553","498","946","712","34","14","26","89","55","32","22","94","145","192","157"
"LOC5572552","125","90","170","112","47","7","26","56","73","56","149","265","66","123"
"LOC110677928","3","1","3","0","0","0","0","0","0","0","1","0","0","0"
"LOC5572559","29","36","33","965","506","482","96","143","56","151","172","154","229","410"
"LOC5572560","248","288","334","137","16","21","28","0","4","4","31","66","33","33"
"LOC5572561","146","154","169","733","211","348","652","653","405","623","819","850","1017","1384"
"LOC5572563","201","240","215","55","22","16","259","274","155","185","395","413","589","629"
"LOC5572564","574","709","683","1","42","1","477","317","300","552","404","524","900","787"
"LOC110678662","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5572565","194","240","221","220","42","131","106","95","29","71","83","137","92","123"
"LOC110678560","1","0","1","1","0","1","0","0","0","0","0","0","2","0"
"LOC5572566","21","52","13","250","122","122","77","133","102","163","1","21","1","14"
"LOC5572568","2","1","1","1","0","1","362","1006","557","410","3","1","24","0"
"LOC5572567","0","0","0","0","13","26","12","18","1","3","10","13","40","75"
"LOC5572569","0","1","1","1","6","51","0","4","0","0","3","6","33","120"
"LOC5572570","0","0","0","0","6","1","67","111","38","125","0","0","9","15"
"LOC5569096","195","184","225","0","9","25","36","42","8","50","24","32","112","176"
"LOC5569088","14","16","16","17","54","37","63","34","59","30","125","128","33","95"
"LOC5569095","46","50","36","158","42","12","58","69","38","87","8","6","5","46"
"LOC5569092","207","193","266","109","19","1","35","14","11","63","61","107","128","134"
"LOC5569090","27","36","21","217","54","109","114","33","46","86","183","211","217","420"
"LOC5569094","30","28","27","2","10","16","52","25","43","85","130","110","23","108"
"LOC5569091","30","32","28","165","51","97","103","194","146","134","1198","1008","118","313"
"LOC5569097","142","119","140","36","7","29","70","81","64","122","365","481","303","405"
"LOC5569093","51","64","68","1","54","13","85","130","59","67","351","503","196","248"
"LOC5569098","121","158","162","31","27","31","57","25","26","21","12","17","39","81"
"LOC110677697","0","0","0","3","2","0","0","0","0","0","0","0","0","0"
"LOC5577087","5","1","10","0","2","47","0","0","0","0","4","4","8","25"
"LOC23687582","0","1","1","0","8","0","0","0","0","1","12","7","88","223"
"LOC5575783","2","0","1","0","3","0","0","0","1","0","12","6","33","66"
"LOC5575782","0","0","0","178","131","119","114","136","48","60","13","23","14","4"
"LOC5575781","37","18","48","162","69","41","457","555","380","539","919","848","211","440"
"LOC110678112","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110678814","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5575780","31","112","22","0","1","0","143","242","146","143","0","0","0","0"
"LOC5575779","0","1","1","58","3","36","3","1","0","1","7","11","1","1"
"LOC5575778","332","343","439","751","798","1287","392","516","187","268","606","774","360","598"
"LOC5575777","238","176","268","95","41","110","348","264","182","274","411","223","252","362"
"LOC5575776","21","24","14","261","39","47","37","59","31","31","2","0","13","26"
"Trnaa-agc_68","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110677877","84","113","95","1","57","110","80","44","42","54","147","81","359","392"
"LOC5575775","421","377","487","515","122","231","174","169","129","169","463","628","594","916"
"LOC5576273","28","20","32","0","9","22","59","119","68","50","54","69","80","97"
"LOC5576268","184","134","474","0","11","26","365","546","280","313","553","604","82","102"
"LOC5576267","1","1","0","0","5","0","0","0","0","0","3","0","0","0"
"LOC5576269","48","84","32","1","39","58","110","113","145","107","0","1","12","11"
"LOC5576272","0","1","0","221","0","0","0","0","7","0","13","10","1176","2162"
"LOC5576271","0","0","0","0","0","2","3","0","4","5","7","2","0","2"
"LOC5569282","0","0","3","355","84","269","116","38","29","40","122","144","28","74"
"LOC110679502","0","0","0","1","0","0","0","0","0","0","0","0","0","3"
"LOC110679096","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110678113","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"LOC110679086","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"LOC110679085","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"LOC110677983","21","22","34","237","59","102","86","86","56","50","145","206","335","650"
"LOC110678780","2","0","0","0","0","0","0","0","0","0","1","0","0","0"
"LOC110679152","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110679151","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5571914","5","7","7","0","0","0","8","0","1","0","18","7","13","2"
"LOC5569283","68","44","90","315","28","75","18","15","14","15","231","317","112","459"
"LOC5569285","217","166","272","0","15","92","40","30","39","102","42","72","70","95"
"Trnas-aga_65","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5580151","35","35","36","0","0","0","2","7","5","2","662","423","6","37"
"LOC5580150","97","170","128","0","23","72","52","62","27","45","113","177","124","293"
"LOC110678900","1","1","2","0","0","0","1","0","0","0","78","32","3","7"
"LOC5580142","154","231","250","2","14","0","81","82","39","90","56","125","168","289"
"LOC5580149","0","0","0","361","124","205","1037","2539","1239","1314","2","3","45","3"
"LOC5580148","0","0","0","85","0","1","72","161","90","128","0","0","0","0"
"LOC110677829","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"LOC110678060","0","0","0","0","6","1","1","10","6","14","1","0","2","1"
"LOC110678061","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5580147","0","0","0","5","6","4","20","36","26","30","0","0","2","0"
"LOC5580146","0","0","0","0","0","0","8","16","9","17","0","0","1","0"
"LOC110678063","0","0","0","54","10","21","127","155","99","104","1","0","12","49"
"LOC5580145","0","0","0","103","9","24","7","17","25","39","1","12","73","106"
"LOC110678811","0","0","0","0","0","0","20","39","13","10","1","15","0","1"
"LOC110679201","0","0","0","0","0","0","1","14","10","0","1","0","0","0"
"LOC110679003","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC110679189","0","1","0","0","0","0","11","6","1","0","2","0","0","0"
"LOC110677894","81","80","57","288","17","44","64","65","17","49","3","14","43","36"
"LOC5580139","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LOC5576104","28","27","26","580","160","341","133","140","75","88","247","219","145","289"
"LOC5576103","51","43","51","613","176","250","226","249","218","221","707","583","45","63"
"LOC5576102","9","18","17","71","15","58","125","193","91","202","76","75","74","86"
"LOC5576101","434","438","512","140","12","17","106","36","59","43","77","82","121","218"
"LOC5576100","146","146","122","517","184","211","403","341","186","321","722","767","952","1513"
"LOC110677649","1","3","1","0","0","0","0","1","0","0","3","0","0","1"
"LOC5576096","84","87","122","76","0","0","18","39","20","24","77","98","150","226"
"LOC5576097","542","552","586","14","70","111","250","198","138","238","244","337","267","520"
"LOC5576094","0","1","0","0","17","19","19","23","26","23","2","3","8","1"
